Patent number,Title,Inventor name,Date,Page count,PDF link
US-D975775-S,Set of alphanumeric letterboard characters,Thiele; Mayne,2023-01-17,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D975775
US-D974993-S,Car door hook,Wu; Haikun,2023-01-10,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D974993
US-11541809-B2,Unmanned roadside signage vehicle system,Boyle; Norman,2023-01-03,32,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11541809
US-11535111-B2,"Mobile charging unit, particularly for electric vehicles, and a management system thereof for the delivery of charges on request",De Blasio; Eugenio,2022-12-27,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11535111
US-11524308-B2,Handheld spray device,Whalley; Jessica et al.,2022-12-13,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11524308
US-D972630-S,Piano keyboard overlay,Bourke; Joseph,2022-12-13,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D972630
US-11514626-B2,System and method for machine learning based image generation,Mascarenhas; Susanna Valentina et al.,2022-11-29,36,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11514626
US-11504465-B2,Inline pump with rear attachable syringe,Marshall; Michael,2022-11-22,15,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11504465
US-11506440-B2,Cooler with game lid,Chuang; Yuan-Luen et al.,2022-11-22,33,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11506440
US-11498368-B2,Tire with enhanced tread,Marui; Shinji,2022-11-15,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11498368
US-11499749-B2,Heating blower and heating device,He; Xiangming et al.,2022-11-15,19,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11499749
US-11490716-B2,Load-rated tool tether,Salisbury; David,2022-11-08,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11490716
US-11491012-B2,Procedure and orbital implant for orbit anchored bone affixation of an eye prosthesis,Dimitroulis; George,2022-11-08,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11491012
US-11493087-B2,Strut bearing and vehicle strut suspension,Horikawa; Yoshio et al.,2022-11-08,12,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11493087
US-11484923-B2,Plant for the production and the packaging of steel bars or rods,Castellani; Federico,2022-11-01,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11484923
US-11486597-B2,Control method for air conditioning system,Chang; Tse-Wen et al.,2022-11-01,9,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11486597
US-D968576-S,Outtake hose,Hwang; Insoo,2022-11-01,8,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/D968576
